Country,Code,Year,GDP,Growth,CPI,Imports,Exports,Population
Algeria,DZA,1960,2723648551.75208,NA,NA,67.1436317062962,39.043172595018,11124888
Algeria,DZA,1961,2434776645.73628,-13.6054413259302,NA,67.5037710393941,46.2445568889055,11404859
Algeria,DZA,1962,2001468867.73344,-19.685041825216,NA,20.8186466819923,19.79387267512,11690153
Algeria,DZA,1963,2703014867.32834,34.3137287827467,NA,36.8255151428299,24.6846820545111,11985136
Algeria,DZA,1964,2909351792.58659,5.83941300668009,NA,29.4397625286893,25.0840587279266,12295970
Algeria,DZA,1965,3136258896.9233,6.206898209971,NA,25.8330783500862,22.6039435563255,12626952
Algeria,DZA,1966,3039834558.74906,-4.80497094330889,NA,24.6535720040753,25.9861975178091,12980267
Algeria,DZA,1967,3370843065.76735,9.45296256284387,NA,21.631769324965,23.434416768712,13354197
Algeria,DZA,1968,3852115816.97758,10.7962385727714,NA,24.1872543580569,23.1356346033587,13744387
Algeria,DZA,1969,4257218772.15369,8.43328028217051,2.56902453351968,28.070758079996,23.7887768242961,14144438
Algeria,DZA,1970,4863487492.65763,8.86265710850896,2.73858015270629,29.1526684055845,22.0727334005425,14550034
Algeria,DZA,1971,5077222366.97472,-11.3317191681938,2.81051283964484,27.6637775284367,18.4425191541398,14960109
Algeria,DZA,1972,6761786386.54713,27.4239694802383,2.91327382098562,25.7268683015027,20.4495619832458,15377093
Algeria,DZA,1973,8715105930.49101,3.81317629707436,3.093105538332,31.5897635298628,25.5036630012744,15804428
Algeria,DZA,1974,13209713643.3219,7.49491770344765,3.23846950986223,35.4897756232698,38.7490436138728,16247113
Algeria,DZA,1975,15557934268.4965,5.04534161311491,3.50500580522346,42.9655991893928,33.6889362162921,16709099
Algeria,DZA,1976,17728347374.994,8.38675648360112,3.8355536285299,37.1186729568061,33.0545839253536,17190239
Algeria,DZA,1977,20971901273.271,5.25858598739262,4.29540902002563,41.7403173005898,30.58656693011,17690184
Algeria,DZA,1978,26364491313.4471,9.21483570123162,5.04813320836617,40.1687321682685,25.5358367212767,18212326
Algeria,DZA,1979,33243422157.6311,7.47782655012739,5.62102567932607,32.8657490800092,31.1483002053416,18760761
Algeria,DZA,1980,42345277342.0195,0.790606972981209,6.15602503844653,30.3384616947124,34.3384614657894,19337715
Algeria,DZA,1981,44348672667.8715,2.99999608742773,7.05818082046753,30.8777428614597,34.5872507738721,19943664
Algeria,DZA,1982,45207088715.6483,6.40000411580053,7.51996298035484,28.9980749459833,30.9248563230201,20575701
Algeria,DZA,1983,48801369800.3675,5.40000302352237,7.96869149889254,25.8023112440766,27.9418061120348,21228289
Algeria,DZA,1984,53698278905.9678,5.59999652973113,8.61546221276254,27.4663675069292,25.7100161819841,21893853
Algeria,DZA,1985,57937868670.1937,3.6999972551931,9.51855969211015,26.7421877427078,23.5839328880834,22565905
Algeria,DZA,1986,63696301892.8116,0.400001002558241,10.6961586953676,23.1719532337981,12.8547573361278,23241272
Algeria,DZA,1987,66742267773.1959,-0.699997525864305,11.4920877715448,18.4121097433912,14.2724747252216,23917897
Algeria,DZA,1988,59089067187.3943,-1.00000549032958,12.1714477074316,22.6037193991007,15.5078678786413,24591492
Algeria,DZA,1989,55631489801.5508,4.40000216037426,13.3039231725121,28.5140563708175,18.6392633357627,25257672
Algeria,DZA,1990,62045099642.7774,0.800000579981415,15.51936355384,24.9370285987113,23.4436850828471,25912367
Algeria,DZA,1991,45715367087.1001,-1.20000058439054,19.5367660532134,23.5997645372107,29.11782217052,26554329
Algeria,DZA,1992,48003298223.1178,1.80000230101803,25.7239938107487,23.8694899566974,25.3195942793437,27181094
Algeria,DZA,1993,49946455210.966,-2.10000075921401,31.0077860314867,23.138936373697,21.7838769961664,27786259
Algeria,DZA,1994,42542571305.5136,-0.899996548849487,40.0148210875034,26.0537125425428,22.5307252452381,28362253
Algeria,DZA,1995,41764052457.8814,3.79999478987638,51.9310853466031,28.9962292290876,26.1947759790559,28904298
Algeria,DZA,1996,46941496779.8499,4.09999846975579,61.6313321735073,23.9446995515946,29.7604483251847,29411415
Algeria,DZA,1997,48177862501.9495,1.09999993785055,65.1649786270048,21.3376001260742,30.9063113798645,29886839
Algeria,DZA,1998,48187747528.899,5.10000361050234,68.3907504003648,22.516096548704,22.5783540098039,30335732
Algeria,DZA,1999,48640574566.6476,3.20000155059535,70.2000353167834,22.7789989545033,28.1501164983628,30765613
Algeria,DZA,2000,54790245600.5846,3.81967849559879,70.4381279952933,20.7886257603489,42.0697183238118,31183660
Algeria,DZA,2001,54744714396.1666,3.00839546613716,73.4148350773088,22.0168577328644,36.6893047524956,31592153
Algeria,DZA,2002,56760288973.6703,5.60932318983274,74.4560790953083,25.6296317330424,35.5045331051175,31995046
Algeria,DZA,2003,67863829880.4832,7.20187224401604,77.6345748311131,23.8759429702969,38.2488291071572,32403514
Algeria,DZA,2004,85324998813.604,4.30162426436429,80.7103016516726,25.6481996722076,40.0532264952068,32831096
Algeria,DZA,2005,103198228458.588,5.90779126808133,81.8260784457657,24.0734043582286,47.205193239313,33288437
Algeria,DZA,2006,117027304746.54,1.68448831869128,83.7174875822751,21.919325860296,48.810688221487,33777915
Algeria,DZA,2007,134977087734.008,3.37287515437164,86.7974503902714,24.8699633870814,47.0681635490012,34300076
Algeria,DZA,2008,171000691877.714,2.36013486105327,91.0145831804057,28.7111769178343,47.9733451352038,34860715
Algeria,DZA,2009,137211039898.193,1.63224383752232,96.2361447551934,35.9526777107593,35.3716506431356,35465760
Algeria,DZA,2010,161207268655.392,3.63414535334246,100,31.4221139098984,38.4445478458848,36117637
Algeria,DZA,2011,200019057307.655,2.89186599464848,104.524211505053,28.6853215696516,38.7869538761133,36819558
Algeria,DZA,2012,209058991952.125,3.37476865068784,113.81793046074,28.5144313585075,36.8905475681754,37565847
Algeria,DZA,2013,209755003250.664,2.76763886677112,117.521838067973,30.4009257967918,33.2098977866243,38338562
Algeria,DZA,2014,213810022462.428,3.78912121166823,120.94986420025,31.926659337883,30.2191174257954,39113313
Algeria,DZA,2015,165979277276.907,3.76346695783126,126.736646357875,36.5233508297033,23.1717782907161,39871528
Algeria,DZA,2016,160129866569.935,3.29999999975597,134.844870195013,35.0322328950993,20.8600106281793,40606052
Algeria,DZA,2017,167555280113.181,1.60000000052275,142.384203185789,33.5014652299531,22.6388868549416,41318142
