Quarter,Trips
1998-01-01,11806037.6221
1998-04-01,9275662.0744
1998-07-01,8642488.589799998
1998-10-01,9299523.780600002
1999-01-01,11172027.056400001
1999-04-01,9607613.1866
1999-07-01,8913886.5198
1999-10-01,9025688.361799998
2000-01-01,11070865.788999999
2000-04-01,9196262.3222
2000-07-01,9347505.806400001
2000-10-01,8984014.2166
2001-01-01,10672314.304899998
2001-04-01,9533492.144399999
2001-07-01,8807159.0872
2001-10-01,8976944.8476
2002-01-01,10842619.4436
2002-04-01,9232745.4264
2002-07-01,8836214.1348
2002-10-01,9247541.262400001
2003-01-01,10501558.971300002
2003-04-01,9093529.881000001
2003-07-01,8840542.7455
2003-10-01,8841260.634000001
2004-01-01,10701459.5528
2004-04-01,9211266.2672
2004-07-01,8924440.703
2004-10-01,8378584.2486
2005-01-01,10928984.657799998
2005-04-01,8066259.802499999
2005-07-01,8100492.516500001
2005-10-01,7737041.871600001
2006-01-01,11219247.032
2006-04-01,9274046.516
2006-07-01,7796211.345
2006-10-01,8928402.894000001
2007-01-01,10910305.3791
2007-04-01,9356412.6837
2007-07-01,8617460.3827
2007-10-01,8716350.9357
2008-01-01,11951491.467600001
2008-04-01,8499460.2312
2008-07-01,8482235.6138
2008-10-01,8391106.6982
2009-01-01,10131974.7752
2009-04-01,8400415.3108
2009-07-01,8690303.987699999
2009-10-01,8262347.739700001
2010-01-01,10157016.8073
2010-04-01,8733927.978899999
2010-07-01,8606512.9202
2010-10-01,8504683.333099999
2011-01-01,9846442.4493
2011-04-01,9009221.5279
2011-07-01,8449498.6274
2011-10-01,8488633.5158
2012-01-01,10267920.3721
2012-04-01,8602912.1388
2012-07-01,8350376.5222
2012-10-01,9237491.4174
2013-01-01,10786685.4306
2013-04-01,9033303.8231
2013-07-01,8781002.943699999
2013-10-01,8876849.285500001
2014-01-01,11355293.5855
2014-04-01,10198932.0946
2014-07-01,8968036.3277
2014-10-01,9414327.3515
2015-01-01,11630933.5134
2015-04-01,9707047.532300001
2015-07-01,9545954.5705
2015-10-01,10046159.4153
2016-01-01,12593178.1345
2016-04-01,9980198.792
2016-07-01,9939617.5664
2016-10-01,10084964.6705
2017-01-01,12406418.8631
2017-04-01,10471197.2619
2017-07-01,10499165.3699
2017-10-01,11210817.7602
