Quarter,Beer
1992-01-01,443
1992-04-01,410
1992-07-01,420
1992-10-01,532
1993-01-01,433
1993-04-01,421
1993-07-01,410
1993-10-01,512
1994-01-01,449
1994-04-01,381
1994-07-01,423
1994-10-01,531
1995-01-01,426
1995-04-01,408
1995-07-01,416
1995-10-01,520
1996-01-01,409
1996-04-01,398
1996-07-01,398
1996-10-01,507
1997-01-01,432
1997-04-01,398
1997-07-01,406
1997-10-01,526
1998-01-01,428
1998-04-01,397
1998-07-01,403
1998-10-01,517
1999-01-01,435
1999-04-01,383
1999-07-01,424
1999-10-01,521
2000-01-01,421
2000-04-01,402
2000-07-01,414
2000-10-01,500
2001-01-01,451
2001-04-01,380
2001-07-01,416
2001-10-01,492
2002-01-01,428
2002-04-01,408
2002-07-01,406
2002-10-01,506
2003-01-01,435
2003-04-01,380
2003-07-01,421
2003-10-01,490
2004-01-01,435
2004-04-01,390
2004-07-01,412
2004-10-01,454
2005-01-01,416
2005-04-01,403
2005-07-01,408
2005-10-01,482
2006-01-01,438
2006-04-01,386
2006-07-01,405
2006-10-01,491
2007-01-01,427
2007-04-01,383
2007-07-01,394
2007-10-01,473
2008-01-01,420
2008-04-01,390
2008-07-01,410
2008-10-01,488
2009-01-01,415
2009-04-01,398
2009-07-01,419
2009-10-01,488
2010-01-01,414
2010-04-01,374
